class_weight,max_depth,min_sample_split,criterion,splitter,precision,recall,f1,accuracy,fpr,trp,roc_auc
"{0: 1, 1: 1200}",10,3,gini,best,0.51228562956734,0.944160222285006,0.513422674451697,0.958545619313063,0.0414219441887697,0.929742388758782,0.944160222285006
"{0: 1, 1: 1500}",10,3,gini,best,0.511713595031455,0.942013449073977,0.511827071923473,0.956593554233689,0.0433735702361204,0.927400468384075,0.942013449073977
"{0: 1, 1: 907}",10,3,gini,best,0.512493337727239,0.934454977667692,0.51425335444445,0.960186829224601,0.0397551500510324,0.908665105386417,0.934454977667692
