# TEST CONFIGURATION BEGIN
# FileStream(filename='flows.csv', target_idx=6, n_targets=1, cat_features=None)
# [M0] HoeffdingAdaptiveTreeClassifier(binary_split=True, bootstrap_sampling=True, grace_period=400, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-05, split_criterion='gini', stop_mem_management=False, tie_threshold=0.005)
# EvaluatePrequential(batch_size=1, data_points_for_classification=True, max_samples=100000, max_time=inf, metrics=['precision', 'recall', 'accuracy', 'kappa', 'data_points'], n_wait=200, output_file='log_CVFDT_training.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_precision_[M0],current_precision_[M0],mean_recall_[M0],current_recall_[M0],mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
12999,0.569930,0.000000,1.000000,0.000000,0.990160,0.995000,0.721430,0.000000
13199,0.567944,0.000000,1.000000,0.000000,0.990236,0.995000,0.719858,0.000000
13399,0.565972,0.000000,1.000000,0.000000,0.990310,0.995000,0.718292,0.000000
13599,0.563574,0.333333,1.000000,1.000000,0.990305,0.990000,0.716337,0.496222
13799,0.563140,0.500000,1.000000,1.000000,0.990376,0.995000,0.716016,0.664430
13999,0.561224,0.000000,1.000000,0.000000,0.990444,0.995000,0.714484,0.000000
14199,0.561224,0.000000,1.000000,0.000000,0.990584,1.000000,0.714550,0.000000
14399,0.562712,1.000000,1.000000,1.000000,0.990719,1.000000,0.715830,1.000000
14599,0.562712,0.000000,1.000000,0.000000,0.990851,1.000000,0.715893,0.000000
14799,0.568562,1.000000,1.000000,1.000000,0.990979,1.000000,0.720713,1.000000
14999,0.568106,0.500000,1.000000,1.000000,0.991034,0.995000,0.720370,0.664430
15199,0.562092,0.200000,1.000000,1.000000,0.990884,0.980000,0.715402,0.327731
15399,0.559871,0.333333,1.000000,1.000000,0.990872,0.990000,0.713578,0.496222
15599,0.559871,0.000000,1.000000,0.000000,0.990993,1.000000,0.713636,0.000000
15799,0.552716,0.000000,1.000000,0.000000,0.990850,0.980000,0.707677,0.000000
15999,0.550955,0.000000,1.000000,0.000000,0.990903,0.995000,0.706244,0.000000
16199,0.549206,0.000000,1.000000,0.000000,0.990955,0.995000,0.704817,0.000000
16399,0.549206,0.000000,1.000000,0.000000,0.991069,1.000000,0.704871,0.000000
16599,0.547468,0.000000,1.000000,0.000000,0.991118,0.995000,0.703448,0.000000
16799,0.545455,0.333333,1.000000,1.000000,0.991104,0.990000,0.701762,0.496222
16999,0.543750,0.000000,1.000000,0.000000,0.991152,0.995000,0.700360,0.000000
17199,0.540373,0.000000,1.000000,0.000000,0.991138,0.990000,0.697521,0.000000
17399,0.530488,0.000000,1.000000,0.000000,0.990888,0.970000,0.689043,0.000000
17599,0.530120,0.500000,1.000000,1.000000,0.990877,0.990000,0.688726,0.662162
17799,0.528529,0.000000,1.000000,0.000000,0.990925,0.995000,0.687391,0.000000
17999,0.526946,0.000000,1.000000,0.000000,0.990971,0.995000,0.686061,0.000000
18199,0.526946,0.000000,1.000000,0.000000,0.991073,1.000000,0.686108,0.000000
18399,0.522255,0.000000,1.000000,0.000000,0.991006,0.985000,0.682053,0.000000
18599,0.517647,0.000000,1.000000,0.000000,0.990939,0.985000,0.678045,0.000000
18799,0.517544,0.500000,1.000000,1.000000,0.990984,0.995000,0.677976,0.664430
18999,0.516035,0.000000,1.000000,0.000000,0.991027,0.995000,0.676688,0.000000
19199,0.514535,0.000000,1.000000,0.000000,0.991070,0.995000,0.675405,0.000000
19399,0.514535,0.000000,1.000000,0.000000,0.991164,1.000000,0.675449,0.000000
19599,0.511561,0.000000,1.000000,0.000000,0.991152,0.990000,0.672853,0.000000
19799,0.511561,0.000000,1.000000,0.000000,0.991244,1.000000,0.672895,0.000000
19999,0.511494,0.500000,1.000000,1.000000,0.991282,0.995000,0.672855,0.664430
20199,0.511494,0.000000,1.000000,0.000000,0.991371,1.000000,0.672895,0.000000
20399,0.507123,0.000000,1.000000,0.000000,0.991307,0.985000,0.669039,0.000000
20599,0.505650,0.333333,1.000000,1.000000,0.991294,0.990000,0.667739,0.496222
20799,0.502809,0.000000,1.000000,0.000000,0.991281,0.990000,0.665230,0.000000
20999,0.501401,0.000000,1.000000,0.000000,0.991317,0.995000,0.664002,0.000000
21199,0.498615,0.250000,1.000000,1.000000,0.991256,0.985000,0.661506,0.395161
21399,0.497253,0.333333,1.000000,1.000000,0.991244,0.990000,0.660290,0.496222
21599,0.497253,0.000000,1.000000,0.000000,0.991327,1.000000,0.660328,0.000000
21799,0.494536,0.000000,1.000000,0.000000,0.991315,0.990000,0.657901,0.000000
21999,0.493188,0.000000,1.000000,0.000000,0.991349,0.995000,0.656713,0.000000
22199,0.490515,0.000000,1.000000,0.000000,0.991336,0.990000,0.654313,0.000000
22399,0.490566,0.500000,1.000000,1.000000,0.991370,0.995000,0.654374,0.664430
22599,0.489247,0.000000,1.000000,0.000000,0.991403,0.995000,0.653204,0.000000
22799,0.486631,0.000000,1.000000,0.000000,0.991390,0.990000,0.650843,0.000000
22999,0.486631,0.000000,1.000000,0.000000,0.991467,1.000000,0.650877,0.000000
23199,0.486702,0.500000,1.000000,1.000000,0.991498,0.995000,0.650955,0.664430
23399,0.485411,0.000000,1.000000,0.000000,0.991528,0.995000,0.649803,0.000000
23599,0.486772,1.000000,1.000000,1.000000,0.991602,1.000000,0.651065,1.000000
23799,0.485488,0.000000,1.000000,0.000000,0.991631,0.995000,0.649919,0.000000
23999,0.481675,0.000000,1.000000,0.000000,0.991574,0.985000,0.646440,0.000000
24199,0.483029,1.000000,1.000000,1.000000,0.991646,1.000000,0.647700,1.000000
24399,0.483117,0.500000,1.000000,1.000000,0.991674,0.995000,0.647792,0.664430
24599,0.483117,0.000000,1.000000,0.000000,0.991743,1.000000,0.647823,0.000000
24799,0.483117,0.000000,1.000000,0.000000,0.991811,1.000000,0.647854,0.000000
24999,0.484456,1.000000,1.000000,1.000000,0.991878,1.000000,0.649097,1.000000
25199,0.484456,0.000000,1.000000,0.000000,0.991943,1.000000,0.649126,0.000000
25399,0.483290,0.333333,1.000000,1.000000,0.991928,0.990000,0.648064,0.496222
25599,0.483290,0.000000,1.000000,0.000000,0.991992,1.000000,0.648092,0.000000
25799,0.483290,0.000000,1.000000,0.000000,0.992055,1.000000,0.648121,0.000000
25999,0.482051,0.000000,1.000000,0.000000,0.992078,0.995000,0.647007,0.000000
26199,0.482143,0.500000,1.000000,1.000000,0.992101,0.995000,0.647100,0.664430
26399,0.479798,0.250000,1.000000,1.000000,0.992046,0.985000,0.644944,0.395161
26599,0.477500,0.250000,1.000000,1.000000,0.991992,0.985000,0.642824,0.395161
26799,0.476309,0.000000,1.000000,0.000000,0.992015,0.995000,0.641746,0.000000
26999,0.473945,0.000000,1.000000,0.000000,0.992000,0.990000,0.639573,0.000000
27199,0.471605,0.000000,1.000000,0.000000,0.991985,0.990000,0.637414,0.000000
27399,0.472906,1.000000,1.000000,1.000000,0.992045,1.000000,0.638638,1.000000
27599,0.469438,0.000000,1.000000,0.000000,0.991993,0.985000,0.635419,0.000000
27799,0.469438,0.000000,1.000000,0.000000,0.992051,1.000000,0.635445,0.000000
27999,0.469438,0.000000,1.000000,0.000000,0.992109,1.000000,0.635471,0.000000
28199,0.469438,0.000000,1.000000,0.000000,0.992166,1.000000,0.635496,0.000000
28399,0.464891,0.000000,1.000000,0.000000,0.992079,0.980000,0.631246,0.000000
28599,0.463768,0.000000,1.000000,0.000000,0.992100,0.995000,0.630211,0.000000
28799,0.463942,0.500000,1.000000,1.000000,0.992120,0.995000,0.630382,0.664430
28999,0.462830,0.000000,1.000000,0.000000,0.992140,0.995000,0.629355,0.000000
29199,0.463007,0.500000,1.000000,1.000000,0.992160,0.995000,0.629529,0.664430
29399,0.463007,0.000000,1.000000,0.000000,0.992215,1.000000,0.629553,0.000000
29599,0.463183,0.500000,1.000000,1.000000,0.992234,0.995000,0.629725,0.664430
29799,0.463183,0.000000,1.000000,0.000000,0.992287,1.000000,0.629749,0.000000
29999,0.462085,0.000000,1.000000,0.000000,0.992305,0.995000,0.628734,0.000000
30199,0.459906,0.000000,1.000000,0.000000,0.992290,0.990000,0.626691,0.000000
30399,0.459906,0.000000,1.000000,0.000000,0.992341,1.000000,0.626713,0.000000
30599,0.460094,0.500000,1.000000,1.000000,0.992359,0.995000,0.626897,0.664430
30799,0.456876,0.000000,1.000000,0.000000,0.992310,0.985000,0.623860,0.000000
30999,0.452656,0.000000,1.000000,0.000000,0.992230,0.980000,0.619848,0.000000
31199,0.449541,0.000000,1.000000,0.000000,0.992182,0.985000,0.616878,0.000000
31399,0.447489,0.000000,1.000000,0.000000,0.992168,0.990000,0.614922,0.000000
31599,0.447489,0.000000,1.000000,0.000000,0.992219,1.000000,0.614944,0.000000
31799,0.446469,0.000000,1.000000,0.000000,0.992236,0.995000,0.613981,0.000000
31999,0.445455,0.000000,1.000000,0.000000,0.992254,0.995000,0.613021,0.000000
32199,0.444444,0.000000,1.000000,0.000000,0.992271,0.995000,0.612063,0.000000
32399,0.444444,0.000000,1.000000,0.000000,0.992320,1.000000,0.612084,0.000000
32599,0.443439,0.000000,1.000000,0.000000,0.992336,0.995000,0.611130,0.000000
32799,0.443439,0.000000,1.000000,0.000000,0.992384,1.000000,0.611151,0.000000
32999,0.443439,0.000000,1.000000,0.000000,0.992431,1.000000,0.611171,0.000000
33199,0.443439,0.000000,1.000000,0.000000,0.992477,1.000000,0.611191,0.000000
33399,0.441441,0.000000,1.000000,0.000000,0.992462,0.990000,0.609270,0.000000
33599,0.439462,0.000000,1.000000,0.000000,0.992447,0.990000,0.607362,0.000000
33799,0.436526,0.000000,1.000000,0.000000,0.992402,0.985000,0.604511,0.000000
33999,0.433628,0.000000,1.000000,0.000000,0.992358,0.985000,0.601687,0.000000
34199,0.434879,1.000000,1.000000,1.000000,0.992404,1.000000,0.602918,1.000000
34399,0.433921,0.000000,1.000000,0.000000,0.992419,0.995000,0.601997,0.000000
34599,0.433260,0.333333,1.000000,1.000000,0.992405,0.990000,0.601350,0.496222
34799,0.432314,0.000000,1.000000,0.000000,0.992420,0.995000,0.600438,0.000000
34999,0.432314,0.000000,1.000000,0.000000,0.992464,1.000000,0.600457,0.000000
35199,0.431670,0.333333,1.000000,1.000000,0.992450,0.990000,0.599824,0.496222
35399,0.431670,0.000000,1.000000,0.000000,0.992493,1.000000,0.599843,0.000000
35599,0.428879,0.000000,1.000000,0.000000,0.992450,0.985000,0.597104,0.000000
35799,0.430108,1.000000,1.000000,1.000000,0.992493,1.000000,0.598321,1.000000
35999,0.428266,0.000000,1.000000,0.000000,0.992479,0.990000,0.596517,0.000000
36199,0.424628,0.000000,1.000000,0.000000,0.992409,0.980000,0.592924,0.000000
36399,0.421941,0.000000,1.000000,0.000000,0.992368,0.985000,0.590261,0.000000
36599,0.421053,0.000000,1.000000,0.000000,0.992382,0.995000,0.589391,0.000000
36799,0.421053,0.000000,1.000000,0.000000,0.992424,1.000000,0.589409,0.000000
36999,0.419287,0.000000,1.000000,0.000000,0.992411,0.990000,0.587658,0.000000
37199,0.418410,0.000000,1.000000,0.000000,0.992425,0.995000,0.586795,0.000000
37399,0.416667,0.000000,1.000000,0.000000,0.992412,0.990000,0.585060,0.000000
37599,0.414938,0.000000,1.000000,0.000000,0.992399,0.990000,0.583335,0.000000
37799,0.414938,0.000000,1.000000,0.000000,0.992440,1.000000,0.583352,0.000000
37999,0.414079,0.000000,1.000000,0.000000,0.992453,0.995000,0.582502,0.000000
38199,0.412371,0.000000,1.000000,0.000000,0.992440,0.990000,0.580792,0.000000
38399,0.411523,0.000000,1.000000,0.000000,0.992454,0.995000,0.579950,0.000000
38599,0.411523,0.000000,1.000000,0.000000,0.992493,1.000000,0.579966,0.000000
38799,0.408998,0.000000,1.000000,0.000000,0.992454,0.985000,0.577419,0.000000
38999,0.408163,0.000000,1.000000,0.000000,0.992468,0.995000,0.576586,0.000000
39199,0.408163,0.000000,1.000000,0.000000,0.992506,1.000000,0.576602,0.000000
39399,0.408537,0.500000,1.000000,1.000000,0.992519,0.995000,0.576983,0.664430
39599,0.407708,0.000000,1.000000,0.000000,0.992532,0.995000,0.576155,0.000000
39799,0.407708,0.000000,1.000000,0.000000,0.992570,1.000000,0.576171,0.000000
39999,0.407708,0.000000,1.000000,0.000000,0.992608,1.000000,0.576187,0.000000
40199,0.407708,0.000000,1.000000,0.000000,0.992645,1.000000,0.576202,0.000000
40399,0.406061,0.000000,1.000000,0.000000,0.992632,0.990000,0.574538,0.000000
40599,0.406061,0.000000,1.000000,0.000000,0.992668,1.000000,0.574553,0.000000
40799,0.405242,0.000000,1.000000,0.000000,0.992680,0.995000,0.573732,0.000000
40999,0.404000,0.250000,1.000000,1.000000,0.992642,0.985000,0.572461,0.395161
41199,0.404000,0.000000,1.000000,0.000000,0.992678,1.000000,0.572476,0.000000
41399,0.403194,0.000000,1.000000,0.000000,0.992689,0.995000,0.571665,0.000000
41599,0.402390,0.000000,1.000000,0.000000,0.992701,0.995000,0.570856,0.000000
41799,0.401590,0.000000,1.000000,0.000000,0.992712,0.995000,0.570049,0.000000
41999,0.400794,0.000000,1.000000,0.000000,0.992723,0.995000,0.569244,0.000000
42199,0.399209,0.000000,1.000000,0.000000,0.992710,0.990000,0.567628,0.000000
42399,0.396857,0.000000,1.000000,0.000000,0.992673,0.985000,0.565213,0.000000
42599,0.396078,0.000000,1.000000,0.000000,0.992684,0.995000,0.564422,0.000000
42799,0.395303,0.000000,1.000000,0.000000,0.992695,0.995000,0.563633,0.000000
42999,0.395303,0.000000,1.000000,0.000000,0.992729,1.000000,0.563647,0.000000
43199,0.397661,1.000000,1.000000,1.000000,0.992763,1.000000,0.566071,1.000000
43399,0.397661,0.000000,1.000000,0.000000,0.992797,1.000000,0.566085,0.000000
43599,0.397661,0.000000,1.000000,0.000000,0.992831,1.000000,0.566099,0.000000
43799,0.396117,0.000000,1.000000,0.000000,0.992818,0.990000,0.564516,0.000000
43999,0.395349,0.000000,1.000000,0.000000,0.992828,0.995000,0.563734,0.000000
44199,0.393822,0.000000,1.000000,0.000000,0.992815,0.990000,0.562164,0.000000
44399,0.393474,0.333333,1.000000,1.000000,0.992802,0.990000,0.561801,0.496222
44599,0.393881,0.500000,1.000000,1.000000,0.992812,0.995000,0.562224,0.664430
44799,0.393130,0.000000,1.000000,0.000000,0.992822,0.995000,0.561456,0.000000
44999,0.391635,0.000000,1.000000,0.000000,0.992809,0.990000,0.559914,0.000000
45199,0.389414,0.000000,1.000000,0.000000,0.992774,0.985000,0.557610,0.000000
45399,0.387947,0.000000,1.000000,0.000000,0.992762,0.990000,0.556088,0.000000
45599,0.387218,0.000000,1.000000,0.000000,0.992772,0.995000,0.555337,0.000000
45799,0.387218,0.000000,1.000000,0.000000,0.992804,1.000000,0.555350,0.000000
45999,0.386492,0.000000,0.995169,0.000000,0.992791,0.990000,0.553833,-0.005025
46199,0.386492,0.000000,0.995169,0.000000,0.992823,1.000000,0.553846,0.000000
46399,0.386492,0.000000,0.995169,0.000000,0.992854,1.000000,0.553858,0.000000
46599,0.386492,0.000000,0.995169,0.000000,0.992885,1.000000,0.553871,0.000000
46799,0.386492,0.000000,0.995169,0.000000,0.992916,1.000000,0.553884,0.000000
46999,0.386492,0.000000,0.995169,0.000000,0.992946,1.000000,0.553896,0.000000
47199,0.386492,0.000000,0.990385,0.000000,0.992955,0.995000,0.553142,0.000000
47399,0.386492,0.000000,0.990385,0.000000,0.992985,1.000000,0.553154,0.000000
47599,0.386492,0.000000,0.990385,0.000000,0.993015,1.000000,0.553167,0.000000
47799,0.386492,0.000000,0.990385,0.000000,0.993044,1.000000,0.553179,0.000000
47999,0.386492,0.000000,0.980952,0.000000,0.993032,0.990000,0.551665,0.000000
48199,0.386492,0.000000,0.980952,0.000000,0.993061,1.000000,0.551677,0.000000
48399,0.386492,0.000000,0.980952,0.000000,0.993090,1.000000,0.551689,0.000000
48599,0.386492,0.000000,0.980952,0.000000,0.993119,1.000000,0.551701,0.000000
48799,0.386492,0.000000,0.980952,0.000000,0.993147,1.000000,0.551712,0.000000
48999,0.386492,0.000000,0.980952,0.000000,0.993175,1.000000,0.551724,0.000000
49199,0.386492,0.000000,0.980952,0.000000,0.993203,1.000000,0.551735,0.000000
49399,0.386492,0.000000,0.980952,0.000000,0.993231,1.000000,0.551747,0.000000
49599,0.386492,0.000000,0.976303,0.000000,0.993238,0.995000,0.550999,0.000000
49799,0.386492,0.000000,0.976303,0.000000,0.993266,1.000000,0.551010,0.000000
49999,0.386492,0.000000,0.976303,0.000000,0.993293,1.000000,0.551021,0.000000
50199,0.386492,0.000000,0.976303,0.000000,0.993320,1.000000,0.551032,0.000000
50399,0.386492,0.000000,0.976303,0.000000,0.993347,1.000000,0.551043,0.000000
50599,0.386492,0.000000,0.976303,0.000000,0.993373,1.000000,0.551054,0.000000
50799,0.386492,0.000000,0.971698,0.000000,0.993380,0.995000,0.550308,0.000000
50999,0.386492,0.000000,0.971698,0.000000,0.993406,1.000000,0.550319,0.000000
51199,0.386492,0.000000,0.971698,0.000000,0.993432,1.000000,0.550330,0.000000
51399,0.386492,0.000000,0.971698,0.000000,0.993458,1.000000,0.550340,0.000000
51599,0.386492,0.000000,0.971698,0.000000,0.993483,1.000000,0.550351,0.000000
51799,0.386492,0.000000,0.971698,0.000000,0.993509,1.000000,0.550361,0.000000
51999,0.386492,0.000000,0.971698,0.000000,0.993534,1.000000,0.550372,0.000000
52199,0.386492,0.000000,0.971698,0.000000,0.993559,1.000000,0.550382,0.000000
52399,0.386492,0.000000,0.971698,0.000000,0.993584,1.000000,0.550392,0.000000
52599,0.386492,0.000000,0.971698,0.000000,0.993608,1.000000,0.550402,0.000000
52799,0.386492,0.000000,0.967136,0.000000,0.993614,0.995000,0.549658,0.000000
52999,0.386492,0.000000,0.967136,0.000000,0.993638,1.000000,0.549668,0.000000
53199,0.386492,0.000000,0.967136,0.000000,0.993662,1.000000,0.549678,0.000000
53399,0.386492,0.000000,0.967136,0.000000,0.993686,1.000000,0.549688,0.000000
53599,0.386492,0.000000,0.962617,0.000000,0.993691,0.995000,0.548945,0.000000
53799,0.386492,0.000000,0.962617,0.000000,0.993715,1.000000,0.548955,0.000000
53999,0.386492,0.000000,0.962617,0.000000,0.993738,1.000000,0.548965,0.000000
54199,0.386492,0.000000,0.958140,0.000000,0.993743,0.995000,0.548224,0.000000
54399,0.386492,0.000000,0.958140,0.000000,0.993766,1.000000,0.548234,0.000000
54599,0.386492,0.000000,0.958140,0.000000,0.993789,1.000000,0.548244,0.000000
54799,0.386492,0.000000,0.958140,0.000000,0.993812,1.000000,0.548253,0.000000
54999,0.386492,0.000000,0.958140,0.000000,0.993835,1.000000,0.548262,0.000000
55199,0.386492,0.000000,0.953704,0.000000,0.993839,0.995000,0.547524,0.000000
55399,0.386492,0.000000,0.953704,0.000000,0.993862,1.000000,0.547533,0.000000
55599,0.386492,0.000000,0.953704,0.000000,0.993884,1.000000,0.547542,0.000000
55799,0.386492,0.000000,0.953704,0.000000,0.993906,1.000000,0.547552,0.000000
55999,0.386492,0.000000,0.953704,0.000000,0.993928,1.000000,0.547561,0.000000
56199,0.386492,0.000000,0.949309,0.000000,0.993932,0.995000,0.546824,0.000000
56399,0.386492,0.000000,0.949309,0.000000,0.993953,1.000000,0.546833,0.000000
